,genres,X_lem
82,"['Art House & International', 'Drama']","['captivating', 'performance', 'steve', 'buscemi', 'sienna', 'miller', 'make', 'seemingly', 'simple', 'premise', 'gripping', 'entertaining']"
83,"['Action & Adventure', 'Documentary', 'Drama']",[]
84,['Comedy'],"['although', 'sketch', 'make', 'ten', 'humorous', 'uneven', 'random', 'tone', 'film', 'cause', 'fall', 'apart']"
85,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']","['happening', 'begin', 'promise', 'unfortunately', 'descends', 'incoherent', 'unconvincing', 'trifle']"
86,['Comedy'],"['moliere', 'sophisticated', 'witty', 'biopic', 'great', 'satirist']"
87,"['Drama', 'Mystery & Suspense']",[]
88,"['Drama', 'Horror', 'Mystery & Suspense']",[]
89,"['Drama', 'Mystery & Suspense']",[]
90,['Drama'],"['ethereal', 'tangible', 'aleksandr', 'sokurov', 'humane', 'chechen', 'war', 'drama', 'feature', 'spectacular', 'turn', 'opera', 'star', 'galina', 'vishnevskay']"
91,['Documentary'],[]
92,"['Documentary', 'Musical & Performing Arts']","['breezy', 'lively', 'modern', 'art', 'documentary', 'revealing', 'la', 'cultural', 'wasteland', 'come', 'fine', 'art']"
93,"['Drama', 'Mystery & Suspense']",[]
94,"['Animation', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']","['robert', 'zemeckis', '3-d', 'animated', 'take', 'dickens', 'classic', 'try', 'hard', 'dazzling', 'special', 'effect', 'distract', 'array', 'fine', 'performance', 'jim', 'carrey', 'gary', 'oldman']"
95,"['Documentary', 'Special Interest']","['equal', 'part', 'mystery', 'biography', 'deep', 'water', 'engrossing', 'documentary', 'affecting', 'treatise', 'human', 'folly', 'obsession']"
96,"['Art House & International', 'Drama', 'Sports & Fitness']",[]
97,['Comedy'],"['despite', 'hitting', 'sweet', 'note', 'beverly', 'hill', 'chihuahua', 'little', 'disposable', 'family', 'entertainment']"
98,['Drama'],"['despite', 'boasting', 'stellar', 'cast', 'firefly', 'garden', 'tedious', 'dull', 'predictable', 'melodrama', 'instantly', 'forgettable']"
99,"['Drama', 'Horror', 'Mystery & Suspense']","['featuring', 'wooden', 'performance', 'minimal', 'scare', 'eye', 'another', 'tedious', 'remake', 'asian', 'horror', 'film']"
100,"['Horror', 'Mystery & Suspense']",[]
101,"['Comedy', 'Drama']","['best', 'friend', 'girl', 'spends', 'much', 'time', 'vulgar', 'offensive', 'leaving', 'little', 'room', 'laugh']"
102,"['Horror', 'Mystery & Suspense', 'Western']",[]
103,"['Drama', 'Horror', 'Mystery & Suspense']","['creative', 'energetic', 'adaptation', 'clive', 'barker', 'short', 'story', 'enough', 'scare', 'thrill', 'potential', 'cult', 'classic']"
104,"['Comedy', 'Drama']","['lucky', 'one', 'feature', 'heartfelt', 'performance', 'undone', 'plot', 'overwrought', 'parade', 'coincidence', 'contrivance']"
105,['Comedy'],"['run', 'fat', 'boy', 'run', 'feature', 'sporadic', 'laugh', 'ultimately', 'formulaic', 'predictable']"
106,['Comedy'],[]
107,"['Action & Adventure', 'Drama', 'Mystery & Suspense']","['kate', 'beckinsale', 'lovely', 'ever', 'best', 'material', 'moribund', 'pacing', 'uninspired', 'plot', 'leave', 'whiteout', 'cold']"
108,"['Comedy', 'Documentary']",[]
109,['Drama'],[]
110,['Comedy'],"['mild', 'wild', 'tween', 'comedy', 'mess', 'fall', 'flat', 'face', 'due', 'poor', 'character', 'poor', 'direction', 'poor', 'joke']"
111,['Drama'],[]
112,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","['king', 'corn', 'take', 'thought-provoking', 'look', 'modern', 'mass', 'food', 'production', 'deftly', 'balance', 'information', 'entertainment']"
113,"['Art House & International', 'Documentary', 'Special Interest']","['terror', 'advocate', 'fascinating', 'portrayal', 'controversial', 'political', 'figure', ';', 'morally', 'unsettling', 'emotionally', 'gripping']"
114,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']","['although', 'darfur', 'always', 'engaging', 'cinema', 'film', 'succeeds', 'bringing', 'attention', 'crisis', 'darfur']"
115,"['Art House & International', 'Drama']",[]
116,['Drama'],"['despite', 'strong', 'cast', 'rail', '&', 'tie', 'emotionally', 'overwrought', 'entirely', 'believable', 'melodrama']"
117,['Documentary'],"['sheer', 'presence', 'arrogant', 'charismatic', 'nicky', 'barnes', 'make', 'mr.', 'untouchable', 'compelling', 'movie', 'experience']"
118,"['Drama', 'Horror', 'Mystery & Suspense']",[]
119,['Drama'],"['canvas', 'faithful', 'portrayal', 'mental', 'illness', 'highlighted', 'terrific', 'performance']"
120,"['Documentary', 'Special Interest']",[]
121,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']","['pleasing', 'eye', 'saawariya', 'struggle', 'fill', 'runtime', 'story', 'whose', 'clichés', 'unfortunately', 'outnumber', 'point', 'interest']"
122,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']",[]
123,"['Drama', 'Mystery & Suspense']","['michael', 'caine', 'excellent', 'performance', 'make', 'flawless', 'something', 'average', 'heist', 'movie']"
124,"['Comedy', 'Romance']","['happens', 'vega', 'laugh', 'mostly', 'settle', 'derivative', 'romantic', 'comedy', 'convention', 'receives', 'little', 'help', 'pair', 'unlikable', 'lead']"
125,"['Action & Adventure', 'Western']","['traditional', 'genre', 'western', 'appaloosa', 'set', 'apart', 'smart', 'psychology', 'intriguing', 'love', 'triangle', 'good', 'chemistry', 'lead']"
126,['Drama'],"['though', 'ambitious', 'good', 'stumble', 'transition', 'stage', 'screen', 'mortensen', 'performance', ""n't"", 'enough', 'cover', 'flaw']"
127,['Drama'],"['visitor', 'heartfelt', 'humanistic', 'drama', 'deftly', 'explores', 'identity', 'immigration', 'major', 'post-9/11', 'issue']"
128,['Comedy'],[]
129,"['Comedy', 'Drama', 'Mystery & Suspense', 'Romance']","['married', 'life', 'excellent', 'performance', 'flash', 'dark', 'wit', 'suffers', 'tonal', 'shift', 'uneven', 'pacing']"
130,['Drama'],[]
131,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']",[]
132,"['Drama', 'Horror', 'Mystery & Suspense']","['despite', 'diane', 'lane', 'earnest', 'effort', 'untraceable', 'manages', 'nothing', 'run-of-the-mill', 'thriller', 'hypocritical', 'message']"
133,"['Drama', 'Mystery & Suspense']","['miserable', 'insipid', 'protagonist', 'informer', 'fails', 'provide', 'anything', 'think', 'sheen', 'fake', 'blond', 'gone']"
134,"['Documentary', 'Special Interest']","['meeting', 'resistance', 'offer', 'nuanced', 'ground-level', 'view', 'war', 'effect', 'invaded', 'people', 'way', 'decide', 'fight', 'back']"
135,"['Comedy', 'Drama']","['buoyed', 'charm', 'matthew', 'broderick', 'title', 'role', 'marlon', 'brando', 'caricature', 'godfather', 'persona', 'freshman', 'benefit', 'solid', 'casting', 'clever', 'premise', 'sweet', 'humor']"
136,"['Art House & International', 'Drama', 'Mystery & Suspense']","['pulpy', 'bloody', 'violent', 'korean', 'shock-fest', 'blackly', 'comedic', 'disappointing', 'overall']"
137,['Comedy'],"['kenny', 'us', 'seemingly', 'lowbrow', 'mockumentary', 'premise', 'foundation', 'well-acted', 'surprisingly', 'thoughtful', 'character', 'study']"
138,"['Comedy', 'Drama']","['predictable', 'lightweight', 'story', 'earnest', 'effort', 'cast', 'squandered', 'rocker', 'bland', 'script']"
139,"['Kids & Family', 'Romance']","['perfect', 'holiday', 'perfect', 'example', 'christmas', 'movie', 'clichés', 'run', 'amok']"
140,"['Art House & International', 'Drama']","['complex', 'portrait', 'immigrant', 'family', 'secret', 'grain', 'sprawling', 'intimate', 'film', 'many', 'fine', 'performance']"
141,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']","['loosely', 'based', 'original', 'tv', 'series', 'land', 'lost', 'decidedly', 'le', 'kid-friendly', 'feel', 'like', 'series', 'inconsistent', 'sketch', 'cohesive', 'adventure', 'comedy']"
142,"['Art House & International', 'Horror', 'Special Interest']","['plunging', 'viewer', 'nightmarish', 'hellscape', 'apartment', 'complex', 'siege', '[', 'rec', ']', 'prof', 'found', 'footage', 'still', 'used', 'effective', 'delivery', 'mechanism', 'sparse', 'economic', 'horror']"
143,"['Comedy', 'Drama']","['though', 'adam', 'rifkin', 'voyeuristic', 'film', 'sometimes', 'feel', 'like', 'clever', 'gimmick', 'part', 'compelling', 'thriller', 'political', 'overtone']"
144,"['Classics', 'Comedy', 'Drama', 'Romance']",[]
145,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']","['imaginative', 'often', 'preposterous', 'box', 'feature', 'thrill', 'largely', 'feel', 'piecemeal']"
146,"['Comedy', 'Drama']","['committed', 'performance', 'christopher', 'plummer', 'ca', ""n't"", 'save', 'man', 'chair', 'troubled', 'cliched', 'script']"
147,"['Drama', 'Mystery & Suspense']",[]
148,"['Horror', 'Mystery & Suspense']",[]
149,"['Drama', 'Mystery & Suspense']","['21', 'could', 'fascinating', 'study', 'supplanted', 'true', 'story', 'based', 'mundane', 'melodrama']"
150,"['Art House & International', 'Drama', 'Romance']","['time', 'plodding', 'dialogue', 'heavy', 'duchess', 'langeais', 'nevertheless', 'intriguing', 'rewarding', 'dissection', 'class', 'gender', 'relation']"
151,"['Art House & International', 'Drama', 'Mystery & Suspense']","['thoughtful', 'provocative', 'dutch', 'film', 'concerned', 'autism', 'online', 'gaming', 'bullying', 'though', 'loses', 'steam', 'final', 'act']"
152,"['Drama', 'Mystery & Suspense']","['body', 'lie', 'relies', 'performance', 'russell', 'crowe', 'leonardo', 'dicaprio', 'elevate', 'beyond', 'conventional', 'espionage', 'thriller']"
153,"['Drama', 'Mystery & Suspense']",[]
154,['Comedy'],"['grand', 'moment', 'comic', 'ingenuity', 'joke', 'poker', 'satire', 'often', 'miss']"
155,['Comedy'],"['hammer', 'perseveres', 'above-average', 'sport', 'comedy', 'perfect', 'starring', 'vehicle', 'carolla']"
156,"['Horror', 'Mystery & Suspense']","['remake', 'thai', 'horror', 'film', 'instead', 'japanese', ""n't"", 'prevent', 'shutter', 'another', 'lame', 'asian', 'horror', 'remake']"
157,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Western']","['sleek', 'stylish', 'quality', 'wasted', 'dull', 'derivative', 'blend', 'sci-fi', 'action', 'horror']"
158,"['Horror', 'Mystery & Suspense']","['british', 'chiller', 'lacking', 'strongly', 'drawn', 'character', 'broken', 'feel', 'unfinished', 'undercooked']"
159,"['Art House & International', 'Mystery & Suspense']","['tense', 'smart', 'prison', 'break', 'movie', 'escapist', 'sharp', 'debut', 'director', 'rupert', 'wyatt']"
160,"['Drama', 'Sports & Fitness']","['sugar', 'exceptionally-crafted', 'film', 'part', 'sport', 'flick', 'part', 'immigrant', 'tale', 'touching', 'poignant', 'drama', 'highlighted', 'splendid', 'performance']"
161,"['Drama', 'Mystery & Suspense']","['despite', 'stunning', 'performance', 'vera', 'farmiga', 'quid', 'pro', 'quo', 'never', 'develops', 'effective', 'part', 'convincing', 'whole']"
162,"['Drama', 'Mystery & Suspense']","['vengeance', 'film', 'lean', 'heavily', 'attack-and-avenge', 'scenario', 'performance', 'brian', 'cox', 'tom', 'sizemore', 'take', 'stink', 'weaker', 'scripting']"
163,['Drama'],[]
164,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']","['road', 'commitment', 'cormac', 'mccarthy', 'dark', 'vision', 'may', 'prove', 'unyielding', 'film', 'benefit', 'hauntingly', 'powerful', 'performance', 'viggo', 'mortensen', 'kodi', 'mcphee']"
165,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']","['g-force', 'feature', 'manic', 'action', 'fails', 'come', 'interesting', 'character', 'inspired', 'plot']"
166,['Drama'],"['despite', 'best', 'effort', 'talented', 'cast', 'man', 'talky', 'witless', 'tension-free']"
167,['Drama'],"['duchess', 'tread', 'now-familiar', 'terrain', 'corset-ripper', 'costume', 'look', 'great', 'keira', 'knightley', 'performance', 'stellar', 'subtly', 'feminist', 'period', 'drama']"
168,"['Comedy', 'Drama']","['woman', 'toothless', 'remake', '1939', 'classic', 'lacking', 'charm', 'wit', 'compelling', 'protagonist', 'original']"
169,"['Action & Adventure', 'Drama']","['michael', 'mann', 'latest', 'competent', 'technically', 'impressive', 'gangster', 'flick', 'charismatic', 'lead', 'performance', 'may', 'find', 'film', 'lack', 'truly', 'compelling', 'drama']"
170,"['Art House & International', 'Drama']",[]
171,"['Art House & International', 'Drama', 'Mystery & Suspense']","['tilda', 'swinton', 'delivers', 'powerful', 'performance', 'julia', 'tense', 'thriller', 'dark', 'character', 'study']"
172,"['Classics', 'Western', 'Romance']",[]
173,['Mystery & Suspense'],[]
174,"['Drama', 'Mystery & Suspense']","['angel', 'heart', 'lure', 'viewer', 'disturbing', 'brutal', 'mystery', 'authentic', 'noir', 'flair', 'palpably', 'hypnotic', 'mood']"
175,"['Comedy', 'Drama', 'Kids & Family']","['cast', 'try', 'hard', 'old', 'dog', 'predictable', 'nearly', 'witless', 'attempt', 'physical', 'comedy', 'moral', 'uplift', 'miss', 'mark', 'count']"
176,"['Action & Adventure', 'Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy']","['though', 'sport', 'slick', 'look', 'feel', 'surrogate', 'fails', 'capitalize', 'promising', 'premise', 'relying', 'instead', 'mindless', 'action', 'poor', 'script']"
177,['Comedy'],"['workplace-related', 'theme', 'worthy', 'satire', 'promotion', 'feature', 'sharp', 'witticism', 'ultimately', 'disappoints']"
178,"['Drama', 'Musical & Performing Arts']","['biopic', 'lack', 'luster', 'subject', 'notorious', 'generic', 'rise-and-fall', 'fare', 'still', 'function', 'primer', 'le', 'familiar', 'work', 'life', 'hip', 'hop', 'icon']"
179,"['Comedy', 'Musical & Performing Arts']","['soul', 'men', 'feature', 'lively', 'performance', 'bernie', 'mac', 'samuel', 'l.', 'jackson', 'hilarious', 'moment', 'ultimately', 'suffers', 'unoriginal', 'script']"
180,"['Animation', 'Comedy', 'Kids & Family']","['animation', 'style', 'ape', 'tim', 'burton', 'slew', 'cultural', 'reference', ""n't"", 'clear', 'enough', 'reach', 'crowd', 'igor', 'patched', 'together', 'antic', 'make', 'hard', 'see', 'film', 'trying', 'please']"
181,"['Documentary', 'Special Interest']",[]
182,['Comedy'],[]
183,"['Drama', 'Mystery & Suspense']",[]
184,"['Drama', 'Mystery & Suspense']","['part', 'harrowing', 'immigration', 'tale', 'part', 'gangster', 'story', 'debut', 'writer/director', 'cary', 'fukunaga', 'sensitive', 'insightful', 'deeply', 'authentic']"
185,"['Art House & International', 'Drama']",[]
186,['Drama'],"['despite', 'fine', 'performance', 'ellen', 'burstyn', 'newcomer', 'christine', 'horne', 'stone', 'angel', 'fails', 'escape', 'formulaic', 'melodrama', 'territory']"
187,"['Animation', 'Comedy', 'Kids & Family']","['squeakquel', 'may', 'entertain', 'kiddy', 'low', 'energy', 'heavily', 'reliant', 'slapstick', 'humor']"
188,"['Art House & International', 'Comedy', 'Drama']","['sharp', 'black', 'comedy', 'chaotic', 'family', 'holiday', 'gathering', 'christmas', 'tale', 'always', 'involving', 'thanks', 'impressive', 'ensemble', 'cast']"
189,"['Comedy', 'Romance']",[]
190,['Drama'],[]
191,['Drama'],"['beautifully', 'filmed', 'powerfully', 'acted', '1,000', 'time', 'good', 'night', 'achieves', 'absorbing', 'fact-based', 'drama', 'without', 'overindulging', 'hollywood', 'contrivance']"
192,['Comedy'],[]
193,"['Mystery & Suspense', 'Science Fiction & Fantasy']","['sci-fi', 'thriller', 'push', 'visually', 'flashy', 'hyperkinetic', 'convoluted']"
194,"['Action & Adventure', 'Drama', 'Mystery & Suspense']","['felon', 'offer', 'rather', 'hackneyed', 'depiction', 'prison', 'life', 'held', 'together', 'pleasantly', 'complex', 'plot', 'solid', 'performance', 'kilmer', 'dorff']"
195,"['Drama', 'Horror', 'Mystery & Suspense']","['nasty', 'witless', 'unoriginal', 'entry', 'torture', 'porn', 'canon', 'hopeless', 'acting', 'waste', 'modern', '3d', 'technology']"
196,"['Horror', 'Mystery & Suspense']","['david', 'goyer', 'unborn', 'tame', 'genre', 'effort', 'cheap', 'thrill', 'scare', 'border', 'silliness']"
197,['Action & Adventure'],[]
198,['Drama'],[]
199,"['Action & Adventure', 'Art House & International']","['chocolate', 'bizarre', 'martial', 'art', 'flick', 'slushy', 'plot', 'unusual', 'protagonist', 'breathtaking', 'stunt']"
200,['Drama'],[]
201,"['Art House & International', 'Comedy']",[]
202,"['Documentary', 'Special Interest']",[]
203,"['Horror', 'Mystery & Suspense']","['never', 'taking', 'seriously', 'splinter', 'score', 'fast-paced', 'fun', 'thriller', 'enough', 'scare']"
204,"['Comedy', 'Drama', 'Mystery & Suspense']","['edward', 'norton', 'delivers', 'one', 'finest', 'performance', 'leaf', 'grass', 'overpowered', 'movie', 'many', 'jarring', 'tonal', 'shift']"
205,['Romance'],[]
206,"['Comedy', 'Romance']","['sandra', 'bullock', 'ryan', 'reynolds', 'exhibit', 'plenty', 'chemistry', ""'re"", 'let', 'proposal', 'devotion', 'formula']"
207,"['Comedy', 'Romance']","['overly', 'quirky', 'incessantly', 'whimsical', 'indie', 'self-conscious', 'good']"
208,"['Documentary', 'Special Interest']",[]
209,['Mystery & Suspense'],[]
210,"['Classics', 'Drama', 'Romance']",[]
211,"['Drama', 'Horror', 'Mystery & Suspense']","['moment', 'dark', 'humor', 'requisite', 'scare', 'orphan', 'fails', 'build', 'interesting', 'premise', 'degenerate', 'formulaic', 'sleazy', 'horror/thriller']"
